Data;Hora;Irradiacao
26062019;9;0
26062019;10;43.18
26062019;11;337
26062019;12;1071
26062019;13;2099
26062019;14;2403
26062019;15;2569
26062019;16;2468
26062019;17;2737
26062019;18;1956
26062019;19;2021
26062019;20;1148
26062019;21;191.7
26062019;22;15.53
26062019;23;0.345
27062019;0;0.532
27062019;1;0.828
27062019;2;0
27062019;3;0
27062019;4;0.056
27062019;5;0.946
27062019;6;0.011
27062019;7;0.155
27062019;8;0
27062019;9;0
27062019;10;36.08
27062019;11;384.5
27062019;12;1039
27062019;13;1947
27062019;14;2392
27062019;15;2587
27062019;16;2328
27062019;17;1523
27062019;18;2257
27062019;19;1924
27062019;20;1081
27062019;21;127.1
27062019;22;10.85
27062019;23;0.593
28062019;0;1.202
28062019;1;0.482
28062019;2;0
28062019;3;0
28062019;4;0
28062019;5;0
28062019;6;0
28062019;7;0
28062019;8;0
28062019;9;0
28062019;10;35.18
28062019;11;388.3
28062019;12;1111
28062019;13;2029
28062019;14;2304
28062019;15;2361
28062019;16;2114
28062019;17;1973
28062019;18;2362
28062019;19;1116
28062019;20;823.4
28062019;21;107.3
28062019;22;11.64
28062019;23;9.964
29062019;0;2.197
29062019;1;4.185
29062019;2;7.793
29062019;3;3.643
29062019;4;0.296
29062019;5;0.242
29062019;6;0.503
29062019;7;0
29062019;8;0
29062019;9;0
29062019;10;31.9
29062019;11;334.1
29062019;12;1060
29062019;13;2034
29062019;14;2289
29062019;15;2667
29062019;16;2666
29062019;17;2611
29062019;18;2404
29062019;19;1938
29062019;20;1166
29062019;21;180
29062019;22;11.34
29062019;23;1.523
30062019;0;1.144
30062019;1;1.199
30062019;2;0.519
30062019;3;0.084
30062019;4;0
30062019;5;0
30062019;6;0
30062019;7;0
30062019;8;0
30062019;9;0
30062019;10;32.83
30062019;11;340
30062019;12;1052
30062019;13;1944
30062019;14;2497
30062019;15;2312
30062019;16;1703
30062019;17;1870
30062019;18;2208
30062019;19;1410
30062019;20;655.1
30062019;21;172.4
30062019;22;9.948
30062019;23;3.978
01072019;0;3.861
01072019;1;2.566
01072019;2;4.602
01072019;3;1.512
01072019;4;0.016
01072019;5;0
01072019;6;0
01072019;7;0
01072019;8;0
01072019;9;0
01072019;10;39.8
01072019;11;457.3
01072019;12;1101
01072019;13;2028
01072019;14;2428
01072019;15;2644
01072019;16;2731
01072019;17;2538
01072019;18;2211
01072019;19;1886
01072019;20;1238
01072019;21;240.6
01072019;22;11.84
01072019;23;2.368
02072019;0;2.104
02072019;1;2.594
02072019;2;0.288
02072019;3;0.165
02072019;4;0.009
02072019;5;0.155
02072019;6;0.021
02072019;7;0.133
02072019;8;0
02072019;9;0
02072019;10;47.67
02072019;11;464.6
02072019;12;1069
02072019;13;1929
02072019;14;2176
02072019;15;2112
02072019;16;2118
02072019;17;1448
02072019;18;999.7
02072019;19;1513
02072019;20;985.9
02072019;21;102
02072019;22;14.58
02072019;23;4.204
03072019;0;3.719
03072019;1;3.899
03072019;2;3.455
03072019;3;1.048
03072019;4;0.109
03072019;5;0.584
03072019;6;0.322
03072019;7;0
03072019;8;0
03072019;9;0
03072019;10;32.14
03072019;11;325.7
03072019;12;1124
03072019;13;2195
03072019;14;2206
03072019;15;1897
03072019;16;1756
03072019;17;1669
03072019;18;1079
03072019;19;375.8
03072019;20;1149
03072019;21;515.3
03072019;22;8.049
03072019;23;1.825
04072019;0;0
04072019;1;0
04072019;2;0
04072019;3;0
04072019;4;0
04072019;5;0
04072019;6;0.008
04072019;7;0
04072019;8;0
04072019;9;0
04072019;10;32.16
04072019;11;314.4
04072019;12;1051
04072019;13;1533
04072019;14;2057
04072019;15;2055
04072019;16;2459
04072019;17;2267
04072019;18;2372
04072019;19;632.2
04072019;20;231.7
04072019;21;50.43
04072019;22;11.95
04072019;23;2.882
05072019;0;1.565
05072019;1;1.321
05072019;2;0.776
05072019;3;0.12
05072019;4;0
05072019;5;0
05072019;6;0
05072019;7;0
05072019;8;0
05072019;9;0
05072019;10;31.7
05072019;11;327.7
05072019;12;1005
05072019;13;2012
05072019;14;2142
05072019;15;2784
05072019;16;2719
05072019;17;2565
05072019;18;2150
05072019;19;1819
05072019;20;1108
05072019;21;216.5
05072019;22;20.81
05072019;23;0.194
06072019;0;0.376
06072019;1;0.084
06072019;2;0
06072019;3;0
06072019;4;0
06072019;5;0.002
06072019;6;0
06072019;7;0
06072019;8;0
06072019;9;0
06072019;10;32.09
06072019;11;332.9
06072019;12;999.6
06072019;13;2034
06072019;14;1997
06072019;15;2242
06072019;16;2094
06072019;17;2213
06072019;18;1972
06072019;19;1166
06072019;20;1188
06072019;21;381.1
06072019;22;13.46
06072019;23;2.049
07072019;0;3.537
07072019;1;0.733
07072019;2;0
07072019;3;0.002
07072019;4;0
07072019;5;0
07072019;6;0
07072019;7;0
07072019;8;0
07072019;9;0
07072019;10;40.59
07072019;11;301.9
07072019;12;953.1
07072019;13;1647
07072019;14;2020
07072019;15;1834
07072019;16;1367
07072019;17;1320
07072019;18;426.2
07072019;19;275.6
07072019;20;184.9
07072019;21;151.7
07072019;22;13.91
07072019;23;0.523
08072019;0;0.535
08072019;1;1.140
08072019;2;0
08072019;3;0
08072019;4;0.143
08072019;5;0.107
08072019;6;0
08072019;7;0
08072019;8;0
08072019;9;0
08072019;10;31.66
08072019;11;308.3
08072019;12;912.9
08072019;13;1748
08072019;14;2481
08072019;15;2846
08072019;16;2449
08072019;17;2305
08072019;18;2354
08072019;19;1901
08072019;20;1243
08072019;21;416.5
08072019;22;16.98
08072019;23;0.394
09072019;0;1.697
09072019;1;0.407
09072019;2;0
09072019;3;0
09072019;4;0.197
09072019;5;0.466
09072019;6;0.089
09072019;7;0
09072019;8;0
09072019;9;0
09072019;10;33.48
09072019;11;251.8
09072019;12;972.6
09072019;13;1959
09072019;14;2293
09072019;15;2406
09072019;16;2907
09072019;17;2163
09072019;18;2357
09072019;19;497.1
09072019;20;266.9
09072019;21;121.2
09072019;22;14.44
09072019;23;2.484
10072019;0;1.264
10072019;1;1.749
10072019;2;0.654
10072019;3;0.136
10072019;4;0.024
10072019;5;0
10072019;6;0.039
10072019;7;0
10072019;8;0
10072019;9;0
10072019;10;35.82
10072019;11;329.3
10072019;12;972.3
10072019;13;1945
10072019;14;1956
10072019;15;2229
10072019;16;2375
10072019;17;2795
10072019;18;1878
10072019;19;1754
10072019;20;1150
10072019;21;191.3
10072019;22;20.82
10072019;23;4.662
11072019;0;4.836
11072019;1;4.707
11072019;2;3.012
11072019;3;1.648
11072019;4;0.734
11072019;5;0.84
11072019;6;1.200
11072019;7;0.299
11072019;8;0.07
11072019;9;0.278
11072019;10;35.45
11072019;11;287.1
11072019;12;673.1
11072019;13;1058
11072019;14;956
11072019;15;1464
11072019;16;1697
11072019;17;2228
11072019;18;2290
11072019;19;967.4
11072019;20;581.8
11072019;21;194.9
11072019;22;15.22
11072019;23;2.911
12072019;0;1.348
12072019;1;0.007
12072019;2;0
12072019;3;0
12072019;4;0
12072019;5;0
12072019;6;0
12072019;7;0.02
12072019;8;0
12072019;9;0
12072019;10;30.91
12072019;11;345.3
12072019;12;895.1
12072019;13;1732
12072019;14;2067
12072019;15;2362
12072019;16;1930
12072019;17;2463
12072019;18;1478
12072019;19;1064
12072019;20;1274
12072019;21;528.7
12072019;22;24.32
12072019;23;3.237
13072019;0;0.15
13072019;1;0.148
13072019;2;0.942
13072019;3;0.883
13072019;4;0.447
13072019;5;0.175
13072019;6;0.046
13072019;7;0.002
13072019;8;0
13072019;9;0
13072019;10;33.12
13072019;11;201.5
13072019;12;554.4
13072019;13;827.5
13072019;14;1954
13072019;15;2517
13072019;16;2296
13072019;17;1767
13072019;18;1267
13072019;19;324.5
13072019;20;334.8
13072019;21;165.6
13072019;22;14.46
13072019;23;5.996
14072019;0;2.845
14072019;1;0.689
14072019;2;0.285
14072019;3;0.495
14072019;4;0.114
14072019;5;0.222
14072019;6;0.004
14072019;7;0
14072019;8;0
14072019;9;0
14072019;10;28.57
14072019;11;316.8
14072019;12;919
14072019;13;1717
14072019;14;2281
14072019;15;2324
14072019;16;2422
14072019;17;2796
14072019;18;2201
14072019;19;1787
14072019;20;1286
14072019;21;368.1
14072019;22;14.78
14072019;23;1.674
15072019;0;0.149
15072019;1;0.027
15072019;2;0.526
15072019;3;0
15072019;4;0
